,angel,convertible_note,debt_financing,equity_crowdfunding,grant,non_equity_assistance,post_ipo_debt,post_ipo_equity,private_equity,product_crowdfunding,secondary_market,seed,undisclosed,venture
0,,,,,,,,,,,,,,10000000
1,,,,,,,,,,,,,,
2,,,,,,,,,,,,700000,,
3,,,,,,,,,,,,,,3406878
4,,,,,,,,,,,,,,2000000
5,,,,,,,,,,,,,,
6,,,,,,,,,,,,,41250,
7,,,,,,,,,,,,43360,,
8,,,,,,,,,,,,,,719491
9,,,,,,,,,,,,3000000,,
10,,,,,,,,,,,,,,20000000
11,,,,,,,,,,,,,,1700000
12,,,,,,,,,,,,,,8900000
13,,,,,,,,,,,,150000,,
14,,,,,,,,,,,,,,
15,,,,,,,,,,,,1000050,,
16,,,,,,,,,,,,40000,,
17,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,
20,,1750000,,,,,,,,,,,,
21,,,,,,,,,6000000,,,,,
22,,,,,,,,,,,,,,5000000
23,,100000,,,,,,,,,,,,
24,,,800000,,,,,,,,,,,
25,,,500000,,,,,,,,,,,
26,,,500000,,,,,,,,,,,
27,,,250000,,,,,,,,,,,
28,,,,,,,,,,,,,,4000000
29,,,,,,,,,,,,400000,,
30,,,,,,,,,,,,40000,,
31,,,,,,,,,,,,500000,,
32,43923865,,,,,,,,,,,,,
33,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,2520000
35,,,,,,,,,,,,15000,,
36,,,647879,,,,,,,,,,,
37,,,500000,,,,,,,,,,,
38,,,,,,,,,,,,,,265940
39,,,,,,,,,,,,,,2906832
40,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,1500000
42,,,,,,,,,,,,,,
43,,,332800,,,,,,,,,,,
44,,,,,,,,,,,,,,642000
45,,,,,,,,,,,,390000,,
46,,,,,,,,,,,,,,6602694
47,,,,,,,,,,,,,,1736910
48,,,,,,,,,,,,132169,,
49,,,,,,,,,,,,,,1800000
50,,,,,,,,,,,,,,8900000
51,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,10000000
53,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,3000000
56,,,,,,,,,,,,,,3000000
57,,,,,,,,,,,,,,1500000
58,,,,,,,,,,,,470000,,
59,,,,,,,,,,,,,,3530000
60,,,,,,,,,,,,750000,,
61,,,,,,,,,,,,,,500000
62,,,,,,,,,,,,,,35000000
63,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,
65,,,,,,,,,,,,50000,,
66,,,,,,,,,,,,100000,,
67,,,,,,,,,,,,,,
68,,,,,,,,,,,,1600000,,
69,100000,,,,,,,,,,,,,
70,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,55000000
74,,,,,,,,,,,,,,550000
75,,,3000000,,,,,,,,,,,
76,,,77500,,,,,,,,,,,
77,,,,,,,,,,,,,,
78,,,,,,,,,,,,1958909,,
79,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,20000000
81,,,,,,,,,,,,,,1800000
82,,,,,,,,,,,,935000,,
83,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,
86,,,,,,,,,,,,250000,,
87,,,,,,,,,,,,170000,,
88,,,,,20000,,,,,,,,,
89,,,,,45000,,,,,,,,,
90,,,,,30000,,,,,,,,,
91,,,,,150000,,,,,,,,,
92,,,,,,,,,,,,14000,,
93,500000,,,,,,,,,,,,,
94,,,,,,,,,,,,55000,,
95,,,,,,,,,,,,,,150267
96,,,,,,,,,,,,500000,,
97,,,,,,,,,,,,,,1000000
98,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,13000000
100,,,,,,,,,,,,,,5400000
101,,,,,,,,,,,,,,
102,,,,,,,,,,,,378812,,
103,,,,,,,,,,,,,,11999347
104,,,,,,,,,,,,130636,,
105,,,,,,,,,,,,,,1809056
106,619494,,,,,,,,,,,,,
107,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,2400000
109,,,,,,,,,,,,,,2500000
110,,,,,,,,,,,,,,15000000
111,,,,,,,,,,,,,,5000000
112,,,,,,,,,,,,,,5150000
113,,,,,,,,,,,,,,12400000
114,,,,,,,,,,,,,,6000000
115,,,,,,,,,,,,,,20000000
116,,,,,3000000,,,,,,,,,
117,,,,,,,,,,,,,,
118,,,,,,,,,,,,700000,,
119,,,,,,,,,,,,,,3000000
120,,,,,,,,,,,,,,2500000
121,,,,,,,,,,,,500000,,
122,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,
124,,,,,,,,,,,,2200000,,
125,1000000,,,,,,,,,,,,,
126,200000,,,,,,,,,,,,,
127,,,,,,,,,,,,200000,,
128,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,199957
130,50000,,,,,,,,,,,,,
131,,,,,,,,,,,,,,
132,,,,,,,,,,,,,,16000000
133,,,,,,,,,,,,,,10000000
134,,,,,,,,,,,,,,14000000
135,,,,,,,,,,,,,,4000000
136,,,,,,,,,,,,1250000,,
137,,,,,,,,,,,,,,1588983
138,,,,,,,,,,,,,,479014
139,,,,,,,,,,,,,,82372322
140,,,,,,,,,,,,,,5000000
141,,,,,,,,,,,,,,10000000
142,,,,,,,,,,,,,,20000000
143,,,,,,,,,,,,,,
144,,,,,,,,,,,,,,100000000
145,,,,,,,,,,,,,,7000000
146,,,,,,,,,,,,,,40000000
147,,,,,2500000,,,,,,,,,
148,,,,,,,,,,,,,,6230000
149,,,,,,,,,,,,,,
150,,,,,,,,,,,,,3248511,
151,,,,,,,,,,,,,,
152,,,,,,,,,,,,,,5000000
153,,,,,,,,,200000000,,,,,
154,40000,,,,,,,,,,,,,
155,,,,,,,,,,,,,,
156,,,,,,,,,,,,,,
157,,,,,,,,,,,,,,
158,,,,,,,,,,,,,,2500000
159,,,,,,,,,,,,40000,,
160,,,,,,,,,,,,,,
161,,,,,11887,,,,,,,,,
162,,,31924,,,,,,,,,,,
163,,,,,,,,,,,,50000,,
164,,37639,,,,,,,,,,,,
165,,,,,,,,,,,,,,
166,,,,,,,,,,,,1700000,,
167,,,,,,,,,,,,,,1450000
168,,,,,,,,,,,,900000,,
169,,,,,,,,,,,,200000,,
170,,,,,,,,,,,,1000000,,
171,,,,,,,,,,,,,,163132
172,,,,,,,,,,,,,,4000000
173,,,,,,,,,,,,210000,,
174,,,,,,,,,,,,2000,,
175,,,,,,,,,,,,,,30000000
176,,,,,,,,,,,,500000,,
177,221592,,,,,,,,,,,,,
178,,,,,,,,,,,,,,
179,,,,,,,,,,,,92582,,
180,447061,,,,,,,,,,,,,
181,,,,,,,,,,,,,,15000000
182,,,,,,,,,,,,,,
183,,,,2572969,,,,,,,,,,
184,,,,,,,,,,,,,,
185,,,,,,,,,,,,,,
186,,,,,,,,,,,,20000,,
187,,,,,,,,,,,,136000,,
188,,,,,,,,,,,,,,30000
189,,,,,,,,,,,,,,
190,,,10000000,,,,,,,,,,,
191,,,,,,,,,,,,,,15000000
192,,,,,,,,,,,,,,
193,,,,,,,,,,,,,60000000,
194,,,,,,,,,,,,,,42000000
195,,,,,,,,,,,,,,
196,750000,,,,,,,,,,,,,
197,,,,,,,,,,,,,,
198,,,,,,,,,,,,,,2500000
199,,,,,,,,,,,,,,500000
200,,,,,,,,,,,,,,1000000
201,,,,,,,,,,,,,,
202,,,,,,,,,,,,,,1660000
203,,,,,,,,,,,,58000,,
204,,,,,,,,,,,,204189,,
205,,,,,,,,,,,,,41250,
206,,,,,,,,,,,,,,2037014
207,,,,,,,,,,,,,,150000
208,,,,,,,,,,,,,,2158413
209,,,,,,,,,,,,,,29750000
210,,,1000000,,,,,,,,,,,
211,,,,,,,,,,,,,,8000000
212,,,4300000,,,,,,,,,,,
213,,,,,,,,,,,,,,26000000
214,,,2507046,,,,,,,,,,,
215,,,,,,,,,,,,,,2500000
216,,,,,,,,,,,,,,7200000
217,,,,,,,,,,,,114804,,
218,,,,,,,,,,,,321650,,
219,,,,,,,,,,,,800000,,
220,,,,,,,,,,,,120000,,
221,,,,,,,,,,,,2100000,,
222,,,,,,,,,,,,,,2000000
